miRNAnames,1001Trimmed_region_report,1422Trimmed_region_report,1423Trimmed_region_report,1424Trimmed_region_report,1425Trimmed_region_report,1426Trimmed_region_report,1427Trimmed_region_report
hsa-miR-369-5p,0,0,0,0,0,0,14
hsa-miR-370-3p,0,0,0,0,5,0,13
hsa-miR-374a-5p,0,0,0,0,0,0,2
hsa-miR-374b-5p,2,0,1,0,1,0,210
hsa-miR-374c-3p,2,0,1,0,1,0,210
hsa-miR-375,1,8,0,1,1,2,4
hsa-miR-376a-3p,3,27,0,6,15,0,964
hsa-miR-376a-5p,0,2,0,0,1,0,2
hsa-miR-376b-3p,0,7,0,2,2,0,300
hsa-miR-376b-5p,0,0,0,0,0,0,2
hsa-miR-376c-3p,0,10,3,10,31,1,1220
hsa-miR-377-3p,0,0,0,0,0,0,5
hsa-miR-377-5p,0,0,0,0,0,0,2
hsa-miR-378a-3p,1,164,55,81,61,29,120
hsa-miR-378a-5p,0,11,2,0,0,0,9
hsa-miR-378c,0,25,9,14,17,0,13
hsa-miR-378d,0,1,1,0,0,0,0
hsa-miR-379-3p,0,0,0,0,0,0,8
hsa-miR-379-5p,0,0,0,0,0,0,11
hsa-miR-380-3p,0,0,0,0,0,0,4
hsa-miR-381-3p,0,0,0,1,1,0,57
hsa-miR-382-3p,0,0,0,0,0,0,7
hsa-miR-382-5p,1,3,0,0,1,0,98
hsa-miR-3912-3p,1,0,0,0,0,0,0
hsa-miR-3913-3p,0,0,0,0,2,0,1
hsa-miR-3913-5p,0,0,0,0,2,0,1
hsa-miR-3923,0,2,1,1,3,0,1
hsa-miR-3928-3p,0,0,0,2,0,0,6
hsa-miR-3938,0,0,0,0,0,0,1
hsa-miR-3940-3p,0,3,0,0,0,1,1
hsa-miR-409-3p,0,3,1,1,1,0,90
hsa-miR-409-5p,0,2,0,0,0,0,40
hsa-miR-410-3p,0,0,0,0,0,0,6
hsa-miR-411-3p,0,0,0,0,0,0,9
hsa-miR-411-5p,0,0,0,0,0,0,3
hsa-miR-421,1,0,0,0,0,0,30
hsa-miR-422a,0,2,0,0,0,0,0
hsa-miR-423-3p,7,39,7,8,14,10,1041
hsa-miR-423-5p,23,237,23,46,82,21,572
hsa-miR-424-3p,0,0,0,0,0,0,2
hsa-miR-424-5p,1,11,6,4,3,3,154
hsa-miR-425-3p,0,0,0,2,0,0,21
hsa-miR-425-5p,13,163,24,18,45,9,973
hsa-miR-431-3p,0,0,0,0,0,0,1
hsa-miR-431-5p,0,0,0,0,0,0,37
